epoch,beta,learning_rate,beta_learning_rate,epoch_duration,D_KL,D_KL_divided,D_KL_noisy
1,0.484,0.1,0.1,428.907931,0.23298456223654107,0.23298456223654107,0.23446813300159725
2,0.474,0.1,0.1,408.725121,0.10479020260542675,0.10479020260542675,0.10309888109957083
3,0.486,0.1,0.1,241.671331,0.07900845304291938,0.07900845304291938,0.08124689573342285
4,0.486,0.1,0.1,236.923078,0.10597617162608045,0.10597617162608045,0.11259132090812057
5,0.483,0.1,0.1,218.070698,0.05709697441689026,0.05709697441689026,0.054926207543273584
6,0.494,0.1,0.1,224.256469,0.06012190523706948,0.06012190523706948,0.05795122045232358
7,0.485,0.1,0.1,181.54274,0.05575863402010867,0.05575863402010867,0.06265469809764564
8,0.499,0.1,0.1,197.857143,0.09915479450497267,0.09915479450497267,0.1019919681507372
9,0.505,0.1,0.1,165.187334,0.06491619601295477,0.06491619601295477,0.06156882408328001
10,0.502,0.1,0.1,164.75351,0.04259717208422659,0.04259717208422659,0.04430997230215641
11,0.502,0.1,0.1,163.701216,0.03665874621775083,0.03665874621775083,0.03334165775368852
12,0.497,0.1,0.1,167.841487,0.03689851927408334,0.03689851927408334,0.03356987050623205
13,0.503,0.1,0.1,162.25077,0.04370121558199632,0.04370121558199632,0.04391102693982649
14,0.505,0.1,0.1,165.582664,0.054731443052430565,0.054731443052430565,0.04416504182914158
15,0.501,0.1,0.1,161.28088400000001,0.032318033658914176,0.032318033658914176,0.02269344449634901
16,0.506,0.1,0.1,163.825837,0.045392798687535686,0.045392798687535686,0.041581361041330825
17,0.5,0.1,0.1,163.196413,0.032282472556414935,0.032282472556414935,0.026218316954742815
18,0.497,0.1,0.1,162.245617,0.03591897733654623,0.03591897733654623,0.036490213999522604
19,0.496,0.1,0.1,163.378315,0.04800056908999913,0.04800056908999913,0.04246044871239308
20,0.503,0.1,0.1,166.798225,0.03420781909261301,0.03420781909261301,0.02614630058593655
21,0.508,0.1,0.1,165.673851,0.0521129519925364,0.0521129519925364,0.05844119583714417
22,0.521,0.1,0.1,170.319919,0.031985164946618454,0.031985164946618454,0.029856283444185776
23,0.526,0.1,0.1,167.534919,0.043129403593034424,0.043129403593034424,0.04246704461647404
24,0.533,0.1,0.1,163.582384,0.0226331195457977,0.0226331195457977,0.014509378614730416
25,0.528,0.1,0.1,170.55759,0.03930068290350199,0.03930068290350199,0.035578769280876076
26,0.538,0.1,0.1,162.96545600000002,0.03270348864888718,0.03270348864888718,0.032258101597436514
27,0.534,0.1,0.1,163.454228,0.03922847768699664,0.03922847768699664,0.03247350979988512
28,0.537,0.1,0.1,162.49645900000002,0.050104306604853224,0.050104306604853224,0.05098279669658158
29,0.534,0.1,0.1,233.357594,0.07519039348248152,0.07519039348248152,0.07118720003288749
30,0.54,0.1,0.1,182.790267,0.02958732592735921,0.02958732592735921,0.027128857178392828
31,0.542,0.1,0.1,182.298378,0.031747337468291115,0.031747337468291115,0.02773880440714413
32,0.54,0.1,0.1,162.451451,0.02881575728352601,0.02881575728352601,0.0370771482060707
33,0.536,0.1,0.1,167.173624,0.030122874903444792,0.030122874903444792,0.029055388779755123
34,0.541,0.1,0.1,160.074136,0.02125996182841586,0.02125996182841586,0.014971407183636359
35,0.547,0.1,0.1,162.367784,0.06080426491147553,0.06080426491147553,0.06391698947199148
36,0.52,0.1,0.1,161.632255,0.03940875645963269,0.03940875645963269,0.03230453820977758
37,0.524,0.1,0.1,163.82219700000002,0.015549756165698578,0.015549756165698578,0.015594074140722355
38,0.521,0.1,0.1,160.941778,0.016434794828497006,0.016434794828497006,0.005636444209098129
39,0.485,0.1,0.1,257.433543,0.017553222128849865,0.017553222128849865,0.009912291884357712
40,0.473,0.1,0.1,404.94372,0.013850362206187862,0.013850362206187862,0.01383466838553348
41,0.454,0.1,0.1,445.917607,0.020737207385208133,0.020737207385208133,0.023429540285185187
42,0.449,0.1,0.1,413.615115,0.026666907719393233,0.026666907719393233,0.026523749125343086
43,0.44,0.1,0.1,420.560991,0.014782247406182955,0.014782247406182955,0.013204005994241753
44,0.468,0.1,0.1,469.345984,0.03428793246735765,0.03428793246735765,0.03178241398941121
45,0.482,0.1,0.1,182.584091,0.0198164074679269,0.0198164074679269,0.011423797516089762
46,0.485,0.1,0.1,169.108712,0.020383919910894555,0.020383919910894555,0.01578469886892101
47,0.49,0.1,0.1,163.01131900000001,0.01733972017970775,0.01733972017970775,0.014036526324908814
48,0.497,0.1,0.1,160.860075,0.019126409115891287,0.019126409115891287,0.023412020246985864
49,0.507,0.1,0.1,160.831445,0.017195250693364254,0.017195250693364254,0.01791334214120656
50,0.502,0.1,0.1,165.643364,0.0305707866336743,0.0305707866336743,0.02075558585686063
51,0.509,0.0933,0.0966,177.294182,0.016941217052683824,0.016941217052683824,0.017561636899657798
52,0.51,0.0871,0.0933,164.202837,0.011684702855664258,0.011684702855664258,0.008759291453582676
53,0.51,0.0812,0.0901,160.833022,0.011296423773535466,0.011296423773535466,0.006911813772005672
54,0.514,0.0758,0.0871,163.96170899999998,0.02397937532377069,0.02397937532377069,0.02603775676797503
55,0.523,0.0707,0.0841,161.420784,0.01647136918819808,0.01647136918819808,0.020626366800677837
56,0.523,0.066,0.0812,163.910451,0.011085453642968186,0.011085453642968186,0.014741854238549179
57,0.518,0.0616,0.0785,166.60639,0.014942115977356722,0.014942115977356722,0.009746028361243528
58,0.517,0.0574,0.0758,160.52920799999998,0.010573928276588611,0.010573928276588611,0.008027866397332538
59,0.512,0.0536,0.0732,180.09345,0.018799927915403233,0.018799927915403233,0.019456245072421052
60,0.519,0.05,0.0707,160.621479,0.01693740323376758,0.01693740323376758,0.020815128869379376
61,0.52,0.0467,0.0683,164.035333,0.01109177345022453,0.01109177345022453,0.00769590226099808
62,0.52,0.0435,0.066,163.550385,0.019516246835229546,0.019516246835229546,0.01758795195191046
63,0.522,0.0406,0.0637,182.450734,0.02233407305245096,0.02233407305245096,0.015802398182420817
64,0.522,0.0379,0.0616,183.080556,0.0116445691852414,0.0116445691852414,0.004663536064838047
65,0.521,0.0354,0.0595,161.21844099999998,0.005531823825357747,0.005531823825357747,0.008594452937328738
66,0.525,0.033,0.0574,160.693951,0.018160094221671374,0.018160094221671374,0.023941294364525488
67,0.522,0.0308,0.0555,162.75664,0.015197252972127236,0.015197252972127236,0.013837202364225566
68,0.522,0.0287,0.0536,167.121776,0.008804084766844241,0.008804084766844241,0.012821749256304362
69,0.523,0.0268,0.0518,163.415603,0.005454792156954693,0.005454792156954693,0.006262972282192864
70,0.517,0.025,0.05,167.585034,0.008095075648163098,0.008095075648163098,0.0038694768751374765
71,0.52,0.0233,0.0483,164.162901,0.008106484835178247,0.008106484835178247,0.008913462862720316
72,0.525,0.0218,0.0467,163.420097,0.012745319873026734,0.012745319873026734,0.01943550270535658
73,0.516,0.0203,0.0451,164.361308,0.019373692511709235,0.019373692511709235,0.018194562316159478
74,0.51,0.0189,0.0435,160.67768999999998,0.007703836518489368,0.007703836518489368,0.014527054797559398
75,0.511,0.0177,0.042,160.761636,0.013240178958697245,0.013240178958697245,-0.0008585465617514769
76,0.512,0.0165,0.0406,163.153207,0.035616485470886604,0.035616485470886604,0.038725997992762724
77,0.51,0.0154,0.0392,162.98105900000002,0.009913549355395549,0.009913549355395549,0.009348784696586405
78,0.508,0.0144,0.0379,161.887736,0.004380131154382117,0.004380131154382117,0.0018850944020527794
79,0.505,0.0134,0.0366,166.777951,0.014976969723136004,0.014976969723136004,0.014435773605813515
80,0.509,0.0125,0.0354,161.565834,0.013084516008697828,0.013084516008697828,0.0021466714356933626
81,0.5,0.0117,0.0342,183.571748,0.008273811468652194,0.008273811468652194,0.006175452029464634
82,0.498,0.0109,0.033,165.323058,0.005304132657707378,0.005304132657707378,0.00608969551526611
83,0.503,0.0102,0.0319,162.121055,0.013817283701330537,0.013817283701330537,0.020206753925038116
84,0.506,0.00947,0.0308,165.25884200000002,0.004345270285340413,0.004345270285340413,0.0007539191939721756
85,0.512,0.00884,0.0297,186.646914,0.00698167423379921,0.00698167423379921,0.0019392062193332718
86,0.516,0.00825,0.0287,179.898895,0.013608418718175022,0.013608418718175022,0.01009963350025234
87,0.516,0.00769,0.0277,159.736599,0.005594323607125976,0.005594323607125976,0.009171334195636347
88,0.519,0.00718,0.0268,164.552166,0.006096355608287912,0.006096355608287912,0.006740111156586334
89,0.521,0.0067,0.0259,159.321136,0.01288052120456838,0.01288052120456838,0.009231720185733186
90,0.524,0.00625,0.025,163.346359,0.012096420554098621,0.012096420554098621,0.013662757719665401
91,0.526,0.00583,0.0241,160.517694,0.006677385517884747,0.006677385517884747,0.006162773264624949
92,0.529,0.00544,0.0233,162.414572,0.014021503431106358,0.014021503431106358,0.017864728383770803
93,0.528,0.00508,0.0225,160.579656,0.008117056142721747,0.008117056142721747,0.0036067906733349853
94,0.529,0.00474,0.0218,164.102085,0.00863129592538948,0.00863129592538948,0.005992985192400638
95,0.528,0.00442,0.021,168.271655,0.007529183998853612,0.007529183998853612,0.004568643233192823
96,0.529,0.00412,0.0203,165.851408,0.011526429189668588,0.011526429189668588,0.0032088544490079945
97,0.529,0.00385,0.0196,162.188319,0.00810704426901011,0.00810704426901011,0.00858764565433299
98,0.531,0.00359,0.0189,158.901239,0.009617643838450193,0.009617643838450193,0.00992292019934964
99,0.534,0.00335,0.0183,161.169669,0.008375631070887284,0.008375631070887284,0.007401198354099588
100,0.534,0.00313,0.0177,159.609383,0.004645606825688449,0.004645606825688449,0.0024726711588127144
